"","year","country_code","phase_number","count","skilled","t","pie","gdp_pc","n","skilled_lag_20"
"1",1976,"BD",1,422,0,50.292,0.719204324506457,31266.0236180069,7.13270142180095,0
"2",1993,"BD",3,240,0.00416666666666667,57.635,0.764497678247678,449525.903767082,7.02916666666667,0.00416666666666667
"3",1994,"BD",3,394,0.0152284263959391,57.927,0.784492509746317,482993.075530625,6.86040609137056,0.0152284263959391
"4",2007,"BD",5,1016,0.032512315270936,67.241,0.835372651735841,2654373.04136486,5.10334645669291,0.032512315270936
"5",1993,"BF",2,292,0,49.437,0.723469196328785,30516488.6198034,8.02054794520548,0
"6",2010,"BF",6,1308,0.00840978593272171,55.959,0.803047631946714,158758812.673441,7.11391437308868,0.00840978593272171
"7",1982,"BJ",1,263,0,48.31,0.714003676931434,37654706.5400548,6.60456273764259,0
"8",1989,"BO",1,598,0.068561872909699,55.156,0.82884443223072,5083.67822227659,6.19565217391304,0.068561872909699
"9",1993,"BO",3,108,0.037037037037037,57.629,0.808050668467335,14265.2554407652,6.23148148148148,0.037037037037037
"10",1994,"BO",3,566,0.11660777385159,58.418,0.819277130407872,17101.3979629541,6.22614840989399,0.11660777385159
"11",2008,"BO",5,1533,0.240704500978474,65.027,0.884240775532361,89865.3512566174,5.46640574037834,0.240704500978474
"12",1987,"BU",1,270,0,48.164,0.770826508882064,3529350.26417284,7.2962962962963,0
"13",2010,"BU",6,606,0.0033003300330033,56.388,0.798167188513723,354806861.712112,7.34158415841584,0.0033003300330033
"14",2016,"BU",7,689,0.0290275761973875,60.217,0.839391369797756,764871419.545873,6.78374455732946,0.0290275761973875
"15",2017,"BU",7,474,0.0548523206751055,60.793,0.858122649736574,888304879.020255,6.45147679324895,0.0548523206751055
"16",1980,"CI",1,218,0.027906976744186,51.682,0.68550360826737,56540546.1119539,7.44954128440367,0.027906976744186
"17",1981,"CI",1,145,0,52.27,0.727651639548191,74180205.3596292,7.3448275862069,0
"18",1978,"CM",1,564,0.00544464609800363,49.995,0.74480526860846,38145086.853429,6.22872340425532,0.00544464609800363
"19",1991,"CM",2,188,0.0106382978723404,54.868,0.797257943002624,80722553.4699697,7.13297872340426,0.0106382978723404
"20",2011,"CM",6,1126,0.0621669626998224,56.582,0.862140087561935,312445564.80829,6.34014209591474,0.0621669626998224
"21",2018,"CM",7,864,0.0833333333333333,60.81,0.875279167206251,473422647.860742,5.81018518518519,0.0833333333333333
"22",1976,"CO",1,372,0.0307262569832402,64.27,0.850068476708532,1053291.12370915,7.37096774193548,0.0307262569832402
"23",1986,"CO",1,368,0.00543478260869565,66.276,0.901423385919953,60570256.5498334,6.34510869565217,0.00543478260869565
"24",1990,"CO",2,543,0.0331491712707182,68.533,0.924065565087665,431003482.90282,5.4548802946593,0.0331491712707182
"25",2009,"CO",5,561,0.158645276292335,74.295,0.961251983310807,24190474636.8894,3.36363636363636,0.158645276292335
"26",2010,"CO",5,4824,0.148424543946932,74.742,0.958392119500639,22841090783.3177,3.46144278606965,0.148424543946932
"27",1976,"CR",1,392,0.0566037735849057,69.4,0.898078215843447,104874.600175608,7.27040816326531,0.0566037735849057
"28",1975,"DR",1,213,0.0418848167539267,58.65,0.86580267385439,2758.30637711729,7.11267605633803,0.0418848167539267
"29",1986,"DR",1,504,0.0119047619047619,64.139,0.866437076413534,13584.685591386,7.62698412698413,0.0119047619047619
"30",1991,"DR",2,461,0.0630434782608696,67.11,0.894863891547303,22765.1121152699,6.22559652928417,0.0630434782608696
"31",2007,"DR",5,2498,0.203763010408327,71.165,0.941329591034355,43390.3100501448,4.05804643714972,0.203763010408327
"32",2013,"DR",6,971,0.299691040164779,72.514,0.940165595932846,51151.5714768503,3.58496395468589,0.299691040164779
"33",1979,"EC",1,452,0.0952380952380952,62.153,0.836870188671009,1820.17471061419,7.18141592920354,0.0952380952380952
"34",1980,"EG",1,854,0.100117785630153,55.802,0.731165345977131,227.627515043104,7.21896955503513,0.100117785630153
"35",1988,"EG",1,965,0.0716510903426791,62.137,0.79504178176458,894.64681935894,6.36891191709845,0.0716510903426791
"36",1992,"EG",2,1033,0.0735721200387222,64.755,0.819147852255306,8611.97058478974,6.26815101645692,0.0735721200387222
"37",2008,"EG",5,2159,0.245947197776749,69.128,0.922298002033991,61088.9599109971,4.91199629458082,0.245947197776749
"38",2014,"EG",6,2624,0.379192073170732,70.052,0.945518900349312,166716.766211319,4.2313262195122,0.379192073170732
"39",1974,"FJ",1,406,0.058974358974359,61.022,0.898684528469373,642.152945865958,7.0935960591133,0.058974358974359
"40",1979,"GH",1,415,0.0536585365853659,50.571,0.816349647674949,0.000152274655200468,6.93734939759036,0.0536585365853659
"41",1988,"GH",1,356,0.0112359550561798,53.824,0.789253100208156,0.323331631006942,7.44101123595506,0.0112359550561798
"42",1993,"GH",2,318,0.0314465408805031,56.231,0.81976822967389,3.30840897927337,6.82389937106918,0.0314465408805031
"43",2008,"GH",5,428,0.0817757009345794,60.224,0.856084141714983,1793.30528079955,5.77336448598131,0.0817757009345794
"44",2014,"GH",6,846,0.033096926713948,62.42,0.876630753669761,16555.6708582936,5.39007092198582,0.033096926713948
"45",1977,"HT",1,243,0.037344398340249,48.956,0.771352275981906,5930.1007378851,6.30864197530864,0.037344398340249
"46",1994,"HT",3,324,0.0123456790123457,54.35,0.797406108980183,63225.9773332351,5.76851851851852,0.0123456790123457
"47",2016,"HT",7,222,0.103603603603604,63.237,0.869453544453545,2811626.69074581,5.09009009009009,0.103603603603604
"48",2017,"HT",7,940,0.0382978723404255,63.392,0.894973153324217,3254954.26174748,5.44255319148936,0.0382978723404255
"49",1992,"IA",2,3133,0.029788597053171,59.055,0.834870789387227,216964.559214849,5.12033195020747,0.029788597053171
"50",1993,"IA",2,5074,0.0436845226329314,59.452,0.869193888054747,288028.696848485,5.12810405991328,0.0436845226329314
"51",2005,"IA",5,560,0.0928571428571429,64.524,0.886172760770975,1395740.99115365,4.3875,0.0928571428571429
"52",2006,"IA",5,8840,0.103405362597579,64.996,0.898786211902728,1653940.61729244,4.0579185520362,0.103405362597579
"53",2015,"IA",6,36021,0.0747897060048305,69.074,0.933571147473454,6743432.95913549,3.58685211404459,0.0747897060048305
"54",2016,"IA",6,33648,0.0753090822634332,69.636,0.928641497309026,7808475.58347654,3.74465049928673,0.0753090822634332
"55",1976,"ID",1,837,0.0513739545997611,55.968,0.787343474261037,55788631.3711089,5.9426523297491,0.0513739545997611
"56",1987,"ID",1,1396,0.0581478822684853,61.722,0.842239945909569,1392333236.80707,5.89398280802292,0.0581478822684853
"57",1991,"ID",2,2659,0.0620534035351636,63.181,0.874273562925312,3076912254.86557,5.57051523128996,0.0620534035351636
"58",1994,"ID",3,3120,0.0852564102564103,64.598,0.872207095344115,4961016748.1693,5.48429487179487,0.0852564102564103
"59",2007,"ID",5,4248,0.146358708460995,67.914,0.90957635819924,165477522435.283,4.25517890772128,0.146358708460995
"60",2012,"ID",6,4719,0.25068870523416,68.823,0.918119924270592,325505585149.783,3.8260224623861,0.25068870523416
"61",2017,"ID",7,5853,0.335385667863862,69.798,0.934668549648047,687105756479.055,3.36323253032633,0.335385667863862
"62",1990,"JO",2,730,0.0452674897119342,69.57,0.929650198601649,512.149235657406,8.66849315068493,0.0452674897119342
"63",2007,"JO",5,1190,0.295798319327731,73.145,0.964789253942284,1417.94939438883,6.81428571428571,0.295798319327731
"64",2012,"JO",6,1391,0.371675053918045,74.189,0.961558193783212,1971.24658929177,6.08411214953271,0.371675053918045
"65",2017,"JO",7,1832,0.381004366812227,75.215,0.980080643065086,2133.08143202379,5.04148471615721,0.381004366812227
"66",2018,"JO",7,353,0.322946175637394,75.502,0.9858175032396,2171.75407749156,4.77620396600567,0.322946175637394
"67",1977,"KE",1,329,0.0129032258064516,55.895,0.813996219923272,31116.688474098,8.02127659574468,0.0129032258064516
"68",1978,"KE",1,309,0.0201342281879195,56.486,0.751801964666042,30934.5269134878,8.50809061488673,0.0201342281879195
"69",1989,"KE",1,382,0.005249343832021,59.539,0.87489315876096,228435.936751571,7.94240837696335,0.005249343832021
"70",1993,"KE",2,431,0.037122969837587,57.259,0.865211341893476,1054567.1049251,7.83990719257541,0.037122969837587
"71",2008,"KE",5,304,0.0789473684210526,58.865,0.892555461716646,4316815.41462331,6.01644736842105,0.0789473684210526
"72",2009,"KE",5,355,0.0507042253521127,59.614,0.894584836134132,5415821.15241064,6.2,0.0507042253521127
"73",2014,"KE",6,2301,0.205562798783138,61.389,0.913582895688502,10171113.9843062,5.6219035202086,0.205562798783138
"74",1974,"KR",1,656,0.144817073170732,63.40731707,0.832253717657681,91928523.0460046,5.92835365853659,0.144817073170732
"75",1986,"LB",1,381,0.020997375328084,44.664,0.728446771950709,490.159196341413,7.25196850393701,0.020997375328084
"76",2007,"LB",5,539,0.0556586270871985,57.62,0.793436572703734,274.126053500509,6.77365491651206,0.0556586270871985
"77",2013,"LB",6,795,0.0465408805031447,59.913,0.78270798897325,455.708049320039,7.08176100628931,0.0465408805031447
"78",1975,"LK",1,920,0.014145810663765,65.999,0.884782744429484,16098.2663903064,6.29782608695652,0.014145810663765
"79",1977,"LS",1,271,0.00738007380073801,53.487,0.784349127707061,129.093010357606,5.78966789667897,0.00738007380073801
"80",1992,"MD",2,295,0.0102389078498294,52.357,0.822839236786605,39666876.4282505,7.69491525423729,0.0102389078498294
"81",2008,"MD",5,350,0.154285714285714,61.757,0.901460618746333,1565358345.54811,5.19714285714286,0.154285714285714
"82",2009,"MD",5,968,0.0363070539419087,62.142,0.872181811918838,1789153576.41163,6.21074380165289,0.0363070539419087
"83",1987,"ML",1,224,0,43.977,0.674897485946593,24373508.9436878,7.53125,0
"84",2006,"ML",5,1113,0.0207207207207207,54.003,0.738718086595445,142880275.364988,7.56693620844564,0.0207207207207207
"85",2012,"ML",6,420,0.019047619047619,56.755,0.888076612540898,202950841.316787,6.24285714285714,0.019047619047619
"86",2013,"ML",6,225,0.00888888888888889,57.079,0.91183822350489,196534895.617372,6.06666666666667,0.00888888888888889
"87",2018,"ML",7,605,0.00826446280991736,59.132,0.854561409664715,276065964.491565,6.57520661157025,0.00826446280991736
"88",1992,"MW",2,307,0.00325732899022801,43.312,0.699314673744641,4403.52855754631,7.51791530944625,0.00325732899022801
"89",2010,"MW",5,1581,0.0189753320683112,55.448,0.797955068685619,10840043.8757912,7.0506008855155,0.0189753320683112
"90",2015,"MW",7,1054,0.0483870967741935,60.899,0.847093800675395,95866883.1804507,6.40607210626186,0.0483870967741935
"91",2016,"MW",7,468,0.0555555555555556,61.378,0.866637914554581,159104967.234573,6.16025641025641,0.0555555555555556
"92",1976,"MX",1,571,0.0469924812030075,62.81,0.858555707736543,0.439402621403129,7.41856392294221,0.0469924812030075
"93",1974,"MY",1,845,0.0300500834724541,64.62,0.878601728646107,4634.84523844818,6.48994082840237,0.0300500834724541
"94",1981,"NG",1,157,0.0266666666666667,46.349,0.74276091919404,1140.67687720708,7.11464968152866,0.0266666666666667
"95",1982,"NG",1,384,0.0321543408360129,46.493,0.805981283618002,1296.44066838466,5.8828125,0.0321543408360129
"96",1990,"NG",2,570,0.0140350877192982,46.182,0.780688069240701,41760.1563745874,6.90175438596491,0.0140350877192982
"97",2008,"NG",5,2807,0.109764789736279,50.033,0.79577854693139,31519428.701251,7.21410758817243,0.109764789736279
"98",2013,"NG",6,3434,0.175167589624016,51.497,0.817143235579119,74192741.4218361,6.92486895748398,0.175167589624016
"99",2018,"NG",7,3746,0.214361986118526,52.305,0.860688549156248,201757919.517802,6.52189001601708,0.214361986118526
"100",1992,"NI",2,353,0.0028328611898017,42.218,0.660167649473599,28346575.0400837,8.22096317280453,0.0028328611898017
"101",2006,"NI",5,645,0.0186046511627907,53.59,0.769706395089432,93937134.9476334,8.02790697674419,0.0186046511627907
"102",1992,"NM",2,333,0.0630630630630631,62.098,0.895641762308429,18363.4564487498,6.27027027027027,0.0630630630630631
"103",2006,"NM",5,185,0.140540540540541,51.787,0.895760890760891,182245.943612325,4.8,0.140540540540541
"104",2007,"NM",5,494,0.172064777327935,52.655,0.90616494391798,216232.714665446,5.04048582995951,0.172064777327935
"105",2013,"NM",6,713,0.20476858345021,57.64,0.930544019639391,506247.668465443,4.39130434782609,0.20476858345021
"106",1976,"NP",1,481,0.0091533180778032,45.04,0.727427631273785,17013.3250327217,6.10602910602911,0.0091533180778032
"107",1976,"PA",1,269,0.0746268656716418,68.079,0.893863230945015,1254.12689030434,6.56877323420074,0.0746268656716418
"108",1977,"PE",1,595,0.0504201680672269,58.266,0.785900148760999,4.97896891275628e-12,7.22857142857143,0.0504201680672269
"109",1986,"PE",1,377,0.0397877984084881,61.292,0.854416015755538,2.07746930310369e-07,6.64190981432361,0.0397877984084881
"110",1991,"PE",2,631,0.115689381933439,65.106,0.878602160297881,910.262249878654,6.04278922345483,0.115689381933439
"111",1992,"PE",2,502,0.133466135458167,65.434,0.895450755569799,2425.06239953005,5.77490039840637,0.133466135458167
"112",2006,"PE",5,645,0.173643410852713,72.986,0.918267017220506,33818.0483513052,4.8077519379845,0.173643410852713
"113",2007,"PE",5,641,0.180967238689548,73.172,0.917529653567095,35294.9606370519,5.01716068642746,0.180967238689548
"114",2008,"PE",5,1667,0.206958608278344,73.223,0.925364503356405,36113.8202802315,4.6130773845231,0.206958608278344
"115",2010,"PE",6,2318,0.20060396893874,73.466,0.928087877753538,40563.5979651694,4.50345125107852,0.20060396893874
"116",1978,"PH",1,1155,0,62.149,0.891575822248091,30440.8471310586,7.02770562770563,0
"117",1993,"PH",2,1050,0.16555023923445,67.088,0.921088459159888,665282.717708066,5.86857142857143,0.16555023923445
"118",2008,"PH",5,1340,0.287313432835821,70.483,0.94302892070616,3764669.07841501,4.6910447761194,0.287313432835821
"119",2013,"PH",6,1667,0.248350329934013,70.881,0.952332303612342,4953512.70309359,4.49070185962807,0.248350329934013
"120",2017,"PH",7,2625,0.288380952380952,71.387,0.966055546569832,7575729.43060553,4.11390476190476,0.288380952380952
"121",1975,"PK",1,482,0,55.472,0.735696357584324,21585.2048766841,7.19917012448133,0
"122",1990,"PK",2,104,0.0384615384615385,59.62,0.87105410615026,226159.727391908,6.86538461538461,0.0384615384615385
"123",1991,"PK",2,494,0.0121457489878543,60.066,0.896600871575568,286224.448217531,6.84210526315789,0.0121457489878543
"124",2006,"PK",5,800,0.03,62.466,0.902891452297702,3019089.13929052,6.68375,0.03
"125",2007,"PK",5,385,0.0441558441558442,63.731,0.88907671693386,3344361.03820856,6.66753246753247,0.0441558441558442
"126",2012,"PK",6,1148,0.0827526132404181,64.648,0.888555267386301,9997039.36083511,6.26132404181185,0.0827526132404181
"127",2013,"PK",6,477,0.10062893081761,64.782,0.90155643331744,11894907.9348798,6.55765199161426,0.10062893081761
"128",2017,"PK",7,447,0.100671140939597,65.88,0.90367308555228,16191780.1657506,5.70917225950783,0.100671140939597
"129",2018,"PK",7,1060,0.0811320754716981,66.297,0.92849580974581,19871883.8417556,5.66037735849057,0.0811320754716981
"130",1992,"RW",2,375,0.008,46.519,0.768471276871277,5125162.5402086,8.20266666666667,0.008
"131",2010,"RW",6,606,0.00825082508250825,61.958,0.789943183878827,207420097.563697,6.62706270627063,0.00825082508250825
"132",2011,"RW",6,462,0.038961038961039,62.54,0.819109594109594,241036341.476046,6.33982683982684,0.038961038961039
"133",2014,"RW",6,357,0.0365168539325843,64.426,0.820339596600101,345925337.244249,6,0.0365168539325843
"134",2015,"RW",6,543,0.0441988950276243,64.94,0.817307922280298,390132040.685881,6.01289134438306,0.0441988950276243
"135",1979,"SD",1,180,0.0277777777777778,53.44,0.827400593233927,5.80854262117524e-05,6.72222222222222,0.0277777777777778
"136",1978,"SN",1,243,0.0127118644067797,46.152,0.695410899114603,29830391.5796743,7.60905349794239,0.0127118644067797
"137",1986,"SN",1,252,0.00796812749003984,52.758,0.718520974175736,95323906.4812561,7.76984126984127,0.00796812749003984
"138",1993,"SN",2,267,0.0224719101123595,57.112,0.755587909801393,74571594.7893936,7.62921348314607,0.0224719101123595
"139",2010,"SN",6,388,0.0206185567010309,63.923,0.865122325875055,323591154.783103,6.37113402061856,0.0206185567010309
"140",2011,"SN",6,536,0.0111940298507463,64.615,0.814570550717939,317730134.61014,6.93470149253731,0.0111940298507463
"141",2017,"SN",7,1030,0.0300970873786408,67.497,0.887780137877225,459114446.550991,6.32815533980583,0.0300970873786408
"142",1978,"SY",1,502,0.0398406374501992,63.764,0.8744619700795,15394.1177094651,8.11155378486056,0.0398406374501992
"143",1978,"TN",1,493,0.0163265306122449,61.543,0.821687260226814,187.278554231313,7.33468559837728,0.0163265306122449
"144",1991,"TZ",2,372,0,51.485,0.78933714135327,13963516.9297839,7.58602150537634,0
"145",1992,"TZ",2,288,0,51.306,0.802600996611413,22162256.7667856,7.30555555555556,0
"146",2010,"TZ",5,722,0.0277008310249307,58.894,0.84834049453163,1454162466.49777,6.8808864265928,0.0277008310249307
"147",2015,"TZ",7,772,0.0272020725388601,63.873,0.875404808921648,3754614914.61029,6.26554404145078,0.0272020725388601
"148",2016,"TZ",7,230,0.00434782608695652,64.651,0.873472324776673,4575419532.24621,6.87826086956522,0.00434782608695652
"149",1988,"UG",1,209,0,46.619,0.788616566846232,4811702.20916804,8.29665071770335,0
"150",2006,"UG",5,575,0.0243478260869565,52.976,0.782040741866829,1436625153.64679,8.05739130434783,0.0243478260869565
"151",2011,"UG",6,538,0.0371747211895911,57.055,0.821729886181559,4084036647.97479,7.61524163568773,0.0371747211895911
"152",2016,"UG",7,1155,0.0476190476190476,61.086,0.850099876073902,7500292585.433,7.24761904761905,0.0476190476190476
"153",1979,"YE",1,217,0.00465116279069767,48.392,0.685255796430912,NA,7.23963133640553,0.00465116279069767
"154",1992,"ZM",2,381,0.0026246719160105,47.097,0.797349380715522,11.6060518270598,8.20472440944882,0.0026246719160105
"155",2007,"ZM",5,444,0.0675675675675676,51.795,0.827604796354796,18011.2524334597,6.95045045045045,0.0675675675675676
"156",2013,"ZM",6,586,0.0767918088737201,58.867,0.838904061429659,51856.9734416554,6.919795221843,0.0767918088737201
"157",2014,"ZM",6,396,0.0732323232323232,59.878,0.855362426574548,65619.4900189191,7.00757575757576,0.0732323232323232
"158",2018,"ZM",7,893,0.0671892497200448,62.12,0.87302427260434,170221.01204663,6.66405375139978,0.0671892497200448
"159",1988,"ZW",1,244,0,61.767,0.874872567296627,1227.09130283147,7.26639344262295,0
"160",1994,"ZW",3,407,0.0172413793103448,54.426,0.888785174012447,946.224013527567,6.79361179361179,0.0172413793103448
"161",2010,"ZW",6,332,0.0391566265060241,48.063,0.913317447278291,948.331852647912,5.03614457831325,0.0391566265060241
"162",2011,"ZW",6,280,0.0607142857142857,50.652,0.934661548768692,1093.65349391771,5.25714285714286,0.0607142857142857
"163",2015,"ZW",7,567,0.107583774250441,58.846,0.929622440072176,1445.07106307379,4.31393298059965,0.107583774250441
